ds,is_td,n,n_fac,n_ohe,n_num
hdfail,False,52422,5,35,1
e1684,False,284,2,2,1
phpl04K8a,False,442,1,1,20
prostate,False,502,6,16,9
cancer,False,228,3,23,5
DBCD,False,295,0,0,4919
LeukSurv,False,1043,2,24,5
Dialysis,False,6805,2,70,2
Melanoma,False,205,2,2,3
d.oropha.rec,False,192,8,20,4
pharmacoSmoking,False,125,7,12,4
zinc,False,431,11,18,2
nki70,False,144,4,5,71
burn,False,154,10,12,1
breast,False,100,4,4,0
stagec,False,146,4,15,3
ovarian,False,26,3,3,1
actg,False,1151,7,13,4
rhc,False,5735,31,51,22
rdata,False,1040,2,4,2
epileptic,True,1286,3,3,2
vlbw,False,617,15,34,7
grace,False,1000,2,2,3
TRACE,False,1878,4,4,2
whas500,False,461,9,10,7
dataDIVAT1,False,5943,3,14,2
Bergamaschi,False,82,0,0,10
AML_Bull,False,116,0,0,6283
prostateSurvival,False,14294,3,6,0
nwtco,False,4028,5,7,2
divorce,False,3371,3,4,0
dataDIVAT3,False,4267,4,13,3
uis,False,628,5,11,3
colon,False,929,7,10,2
glioma,False,37,3,3,1
follic,False,541,3,2,2
mgus,False,241,2,5,7
Aids2,False,2839,3,11,1
Z243,False,100,5,19,4
veteran,False,137,3,5,3
chop,False,414,0,0,3833
wpbc,False,198,0,0,32
ova,False,358,3,9,2
micro.censure,False,117,39,80,1
MCLcleaned,False,92,0,0,574
cost,False,518,10,10,3
csl,True,2481,2,2,4
heart,True,172,2,2,2
gse1992,False,124,4,11,15530
smarto,False,3873,9,17,17
NSBCD,False,115,0,0,549
retinopathy,False,394,5,9,2
support2,False,9105,11,41,24
pbc,False,312,5,5,1
Pbc3,False,349,5,12,7
oldmort,True,6495,5,11,2
UnempDur,False,3241,1,1,5
cgd,False,128,7,20,3
acath,False,3504,1,1,2
scania,False,1931,4,7,1
Rossi,True,1405,8,26,1
GBSG2,False,686,3,4,5
heartvalve,True,984,12,16,7
gse3143,False,158,1,3,8660
Unemployment,False,452,5,7,0
gse4335,False,115,6,20,12795
rott2,False,2982,6,7,5
DLBCL,False,240,0,0,7399
dataOvarian1,False,912,2,4,158
aids,True,1405,4,4,1
diabetes,False,394,3,3,1
vdv,False,78,0,0,4705
hepatoCellular,False,227,13,13,30
flchain,False,7874,4,26,6
Framingham,False,4699,2,12,5
FRTCS,True,2091,2,2,3
dataDIVAT2,False,1837,3,3,1
