pid,event,time,fac_race,fac_sex,fac_reason,fac_search,fac_pubemp
0,1,4,white,male,reentr,yes,yes
1,0,7,white,male,lose,no,no
2,0,1,nonwhite,male,lose,no,no
3,1,1,nonwhite,male,reentr,no,no
4,1,3,nonwhite,female,reentr,no,no
5,1,1,white,female,reentr,no,no
6,0,65,white,male,lose,yes,yes
7,0,4,white,female,reentr,no,no
8,0,113,white,female,reentr,no,no
9,1,9,white,male,leave,yes,no
10,1,9,white,male,leave,yes,no
11,0,104,white,male,leave,yes,no
12,0,21,white,female,reentr,no,yes
13,0,20,white,female,lose,no,no
14,1,8,white,male,reentr,no,no
15,1,104,white,female,lose,yes,no
16,1,20,white,male,lose,no,no
17,1,56,nonwhite,female,reentr,no,no
18,0,61,white,female,lose,no,yes
19,0,3,white,female,leave,no,no
20,0,2,white,female,reentr,yes,no
21,1,1,white,female,lose,no,no
22,1,22,white,female,leave,no,yes
23,1,12,nonwhite,male,reentr,no,no
24,1,7,nonwhite,female,reentr,no,no
25,1,104,nonwhite,male,reentr,yes,yes
26,0,12,white,female,new,no,no
27,0,17,white,female,lose,yes,no
28,0,17,white,male,reentr,no,no
29,1,1,white,male,reentr,no,no
30,1,12,white,male,lose,no,no
31,0,10,white,male,lose,no,no
32,0,1,white,male,leave,no,no
33,1,10,nonwhite,female,lose,no,yes
34,1,108,white,male,lose,no,no
35,1,104,white,female,lose,yes,no
36,0,11,nonwhite,female,new,no,no
37,1,56,white,female,leave,yes,no
38,0,65,white,male,reentr,no,no
39,1,7,white,male,reentr,no,yes
40,1,35,nonwhite,female,lose,no,no
41,0,61,white,female,lose,no,no
42,1,56,nonwhite,female,leave,no,no
43,1,3,nonwhite,male,reentr,yes,no
44,0,35,nonwhite,male,leave,no,no
45,1,13,white,female,leave,yes,no
46,1,2,nonwhite,female,lose,yes,no
47,0,9,white,female,lose,no,no
48,0,6,white,male,new,no,no
49,0,3,white,female,lose,no,no
50,1,104,white,male,reentr,yes,yes
51,0,16,nonwhite,female,lose,yes,no
52,1,1,white,female,new,no,no
53,0,7,white,female,new,yes,yes
54,0,65,white,male,reentr,no,yes
55,1,9,white,female,reentr,no,no
56,1,2,white,female,leave,yes,no
57,0,5,white,male,lose,no,no
58,1,2,white,female,leave,yes,yes
59,1,2,white,female,lose,no,no
60,1,8,white,female,lose,no,yes
61,1,7,white,male,reentr,no,no
62,1,1,white,male,reentr,no,no
63,0,13,white,female,lose,no,no
64,0,12,white,female,lose,yes,no
65,0,8,white,male,lose,yes,no
66,0,61,white,female,reentr,yes,no
67,0,17,white,female,reentr,no,no
68,0,26,nonwhite,female,new,no,no
