pid,event,time,fac_heduc,fac_heblack,fac_mixed
0,0,10.546,12-15,No,No
1,0,34.943,<12,No,No
2,1,2.834,<12,No,No
3,1,17.532,<12,No,No
4,0,1.418,12-15,No,No
5,0,48.033,<12,No,No
6,0,16.706,16+,No,No
7,0,24.999,<12,No,No
8,0,24.999,<12,No,No
9,0,3.869,<12,Yes,No
10,0,7.732,12-15,Yes,No
11,1,5.2105,12-15,No,No
12,0,15.444,12-15,No,No
13,0,4.085,16+,No,No
14,0,17.333,<12,No,No
15,0,16.331,12-15,No,No
16,0,35.335,12-15,No,No
17,0,37.67,<12,No,No
18,1,19.1865,12-15,No,No
19,0,22.697,12-15,No,No
20,0,50.776,<12,No,No
21,0,37.495,<12,No,No
22,0,30.738,<12,No,No
23,0,48.654,<12,No,No
24,0,33.024,<12,No,No
25,0,36.668,<12,No,No
26,0,27.992,16+,No,No
27,0,27.789,16+,No,No
28,1,3.2525,12-15,No,No
29,1,5.67,12-15,No,No
30,0,17.999,<12,No,No
31,1,7.5975,<12,No,No
32,0,1.791,<12,No,No
33,0,2.475,<12,No,No
34,0,35.959,12-15,No,No
35,0,13.136,12-15,No,No
36,0,5.717,12-15,No,No
37,0,5.717,12-15,No,No
38,0,26.278,12-15,No,No
39,1,4.331,12-15,No,No
40,0,8.893,<12,No,No
41,0,15.743,12-15,No,No
42,1,4.671,<12,No,No
43,0,48.356,<12,No,No
44,0,39.332,<12,No,No
45,0,39.332,<12,No,No
46,0,61.525,12-15,No,No
47,0,12.999,12-15,No,No
48,0,14.817,12-15,No,No
49,1,33.755,<12,No,No
50,0,56.999,<12,No,No
51,0,3.606,12-15,No,No
52,0,3.606,<12,No,No
53,0,16.999,<12,Yes,No
54,1,42.015,<12,Yes,No
55,0,37.837,12-15,No,No
56,0,18.16,12-15,Yes,No
57,0,18.018,12-15,No,No
58,1,13.667,12-15,No,No
59,1,3.584,12-15,No,No
60,1,2.502,<12,No,No
61,1,14.7135,16+,No,No
62,0,35.932,<12,No,No
63,0,13.864,16+,No,No
64,1,25.8015,12-15,No,No
65,1,14.3495,<12,No,No
66,0,57.506,<12,No,No
67,1,7.915,12-15,No,No
68,0,7.162,<12,No,No
69,0,41.971,16+,No,No
70,0,12.991,16+,No,No
71,1,18.3355,12-15,No,No
72,0,18.809,12-15,No,No
73,0,1.864,<12,No,No
74,0,53.084,12-15,No,No
75,1,17.2895,12-15,No,No
76,1,32.167,12-15,No,No
77,0,18.338,12-15,No,No
78,0,23.469,12-15,No,No
79,0,34.762,16+,No,No
80,1,4.4325,12-15,No,No
81,0,19.081,12-15,No,No
82,1,35.8465,<12,No,No
83,1,7.247,12-15,No,No
84,0,28.151,12-15,No,No
85,1,15.9975,12-15,No,No
86,1,2.2125,<12,No,No
87,0,8.789,16+,No,No
88,0,8.789,16+,No,No
89,0,17.999,16+,No,No
90,0,14.084,16+,No,No
91,0,27.009,<12,No,No
92,0,42.313,<12,Yes,No
93,0,9.002,<12,No,No
94,0,35.001,<12,No,No
95,0,35.001,<12,No,No
96,1,5.0025,<12,No,No
97,0,37.248,12-15,No,No
98,0,34.653,<12,No,No
99,0,16.605,12-15,No,No
100,0,44.841,<12,No,No
101,0,11.671,12-15,No,No
102,0,20.504,12-15,No,No
103,0,6.913,16+,No,No
104,0,22.404,<12,No,No
105,0,31.485,<12,No,No
106,1,3.4965,<12,No,No
107,0,24.0,<12,No,No
108,0,33.851,<12,No,No
109,0,14.576,12-15,No,No
110,1,2.0015,<12,No,No
111,0,52.663,12-15,No,No
112,1,2.6095,<12,No,No
113,0,22.719,16+,No,No
114,1,4.5805,12-15,No,No
115,0,43.751,<12,No,No
116,0,42.062,<12,No,No
117,0,29.07,16+,No,No
118,0,29.07,16+,No,No
119,0,56.052,12-15,No,No
120,1,17.081,12-15,No,No
121,0,27.168,12-15,No,No
122,0,6.001,<12,No,No
123,1,5.919,12-15,No,No
124,0,20.0,12-15,No,No
125,1,10.456,16+,No,No
126,0,26.971,<12,No,No
127,0,53.84,<12,No,No
128,1,11.581,12-15,Yes,No
129,0,22.976,16+,Yes,No
130,0,32.999,<12,No,No
131,1,8.3615,12-15,No,No
132,1,17.084,12-15,No,No
133,0,8.003,12-15,No,No
134,0,3.775,12-15,No,No
135,0,3.565,12-15,No,No
136,0,4.977,<12,No,No
137,0,5.246,12-15,No,No
138,0,1.257,12-15,No,No
139,0,0.6,12-15,No,No
140,0,40.501,<12,No,No
141,0,49.002,12-15,No,No
142,1,6.0015,<12,No,No
143,0,1.878,12-15,No,No
144,0,7.003,12-15,Yes,No
145,0,7.003,12-15,Yes,No
146,0,41.199,16+,No,No
147,0,47.546,12-15,No,No
148,0,21.467,12-15,No,No
